alpha,beta,run,aggregator,mean_utility,mean_fairness,mean_worst_group
0.25,0.5,0,multiplicative_weights,0.4450278890767987,0.9362881485797784,0.3136782176941102
0.25,0.5,0,majority_vote,0.4450278890767987,0.9362881485797784,0.3136782176941102
0.25,0.5,0,oracle,0.45235237462852995,0.9186146087618835,0.2913694092314234
0.25,0.5,1,multiplicative_weights,0.4903600273156677,0.9368206305096115,0.3428690059902696
0.25,0.5,1,majority_vote,0.4903600273156677,0.9368206305096115,0.3428690059902696
0.25,0.5,1,oracle,0.5031944194667359,0.9197000073216827,0.32631943379274425
0.25,0.75,0,multiplicative_weights,0.4566186193890716,0.9258852362965383,0.3045033385676811
0.25,0.75,0,majority_vote,0.4566186193890716,0.9258852362965383,0.3045033385676811
0.25,0.75,0,oracle,0.4668883375515419,0.9107018778017137,0.28745365257422245
0.25,0.75,1,multiplicative_weights,0.44308636679599483,0.9377607561467947,0.3141050203776529
0.25,0.75,1,majority_vote,0.44308636679599483,0.9377607561467947,0.3141050203776529
0.25,0.75,1,oracle,0.460542636742365,0.9203048546223527,0.30330486299358334
0.25,1.0,0,multiplicative_weights,0.4308499138997747,0.927543815092054,0.2912415264636539
0.25,1.0,0,majority_vote,0.4308499138997747,0.927543815092054,0.2912415264636539
0.25,1.0,0,oracle,0.447190876818641,0.9115385986272428,0.27504605993942793
0.25,1.0,1,multiplicative_weights,0.46060642757429143,0.9314152780659263,0.3076793587258324
0.25,1.0,1,majority_vote,0.46060642757429143,0.9314152780659263,0.3076793587258324
0.25,1.0,1,oracle,0.4708729858872353,0.9250988525624416,0.3023588221603081
0.5,0.0,0,multiplicative_weights,0.46286417285890363,0.9253746243659555,0.30497755722533204
0.5,0.0,0,majority_vote,0.46286417285890363,0.9253746243659555,0.30497755722533204
0.5,0.0,0,oracle,0.47284120878223274,0.9178981223896755,0.29888061583233205
0.5,0.0,1,multiplicative_weights,0.4616926585842408,0.9467844542762599,0.3306232178811786
0.5,0.0,1,majority_vote,0.4616926585842408,0.9467844542762599,0.3306232178811786
0.5,0.0,1,oracle,0.4745270908730149,0.9297884545406935,0.3079289457561973
0.5,0.25,0,multiplicative_weights,0.45602569498733914,0.9313198493295202,0.30827096023253764
0.5,0.25,0,majority_vote,0.45602569498733914,0.9313198493295202,0.30827096023253764
0.5,0.25,0,oracle,0.46257966223591446,0.9269940332387132,0.3019251956256823
0.5,0.25,1,multiplicative_weights,0.4679438273003559,0.9434803493028832,0.3338576299015949
0.5,0.25,1,majority_vote,0.4679438273003559,0.9434803493028832,0.3338576299015949
0.5,0.25,1,oracle,0.4772740341258188,0.9279179274543358,0.3153313087431622
0.5,0.5,0,multiplicative_weights,0.45966988018791677,0.9254669647619284,0.3032431262321319
0.5,0.5,0,majority_vote,0.45966988018791677,0.9254669647619284,0.3032431262321319
0.5,0.5,0,oracle,0.4697007494602194,0.9070236147319017,0.2857512126541545
0.5,0.5,1,multiplicative_weights,0.4621996015437257,0.939512370790286,0.3291916960054195
0.5,0.5,1,majority_vote,0.4621996015437257,0.939512370790286,0.3291916960054195
0.5,0.5,1,oracle,0.47429406420074804,0.9300742387005502,0.3217018059939453
0.5,0.75,0,multiplicative_weights,0.4604412345194024,0.9426937239552015,0.3357266445270488
0.5,0.75,0,majority_vote,0.4604412345194024,0.9426937239552015,0.3357266445270488
0.5,0.75,0,oracle,0.4746688397905753,0.9296797298210427,0.3212499364613353
0.5,0.75,1,multiplicative_weights,0.45177721568686385,0.934435297833786,0.3079996503469724
0.5,0.75,1,majority_vote,0.45177721568686385,0.934435297833786,0.3079996503469724
0.5,0.75,1,oracle,0.4726499184068263,0.9247376797290303,0.3091061013757436
0.5,1.0,0,multiplicative_weights,0.4569536948354832,0.9275371031378705,0.30598834582191914
0.5,1.0,0,majority_vote,0.45386202356533484,0.9292734433574349,0.3074245675353588
0.5,1.0,0,oracle,0.47413026207912545,0.9093655416055505,0.28774180825893547
0.5,1.0,1,multiplicative_weights,0.45497075406905846,0.9317710903759517,0.30355778232582253
0.5,1.0,1,majority_vote,0.45497075406905846,0.9317710903759517,0.30355778232582253
0.5,1.0,1,oracle,0.4695316022701527,0.9162783833195628,0.290309366848021
0.75,0.0,0,multiplicative_weights,0.47000401653100526,0.9424942184945101,0.33333762107073556
0.75,0.0,0,majority_vote,0.47000401653100526,0.9424942184945101,0.33333762107073556
0.75,0.0,0,oracle,0.47483613859056495,0.9351512769932891,0.3227525122145471
0.75,0.0,1,multiplicative_weights,0.445440853527209,0.9159724457766207,0.27782634068980144
0.75,0.0,1,majority_vote,0.445440853527209,0.9159724457766207,0.27782634068980144
0.75,0.0,1,oracle,0.45868073406073234,0.9060686394629179,0.27119386865350703
0.75,0.25,0,multiplicative_weights,0.44962072596602315,0.9363999837189945,0.31402849504482816
0.75,0.25,0,majority_vote,0.44962072596602315,0.9363999837189945,0.31402849504482816
0.75,0.25,0,oracle,0.4606869178979268,0.9204661452636194,0.3019065392859627
