alpha,beta,run,aggregator,mean_utility,mean_fairness,mean_worst_group
0.75,0.25,1,majority_vote,0.43375643251541246,0.9138563998227767,0.2671259096694918
0.75,0.25,1,oracle,0.4311090402738432,0.9242417107524942,0.27746969149824013
0.75,0.5,0,multiplicative_weights,0.43265546382202374,0.9180903815565512,0.27165133628655175
0.75,0.5,0,majority_vote,0.4318580070598848,0.9175482325919917,0.2726662338994135
0.75,0.5,0,oracle,0.41815073507828926,0.9291878660591336,0.2784047370342158
0.75,0.5,1,multiplicative_weights,0.44805629012562825,0.9160339869470655,0.28450107131352226
0.75,0.5,1,majority_vote,0.4423174917978161,0.914599366247513,0.2795385832208163
0.75,0.5,1,oracle,0.4365136567605726,0.9200702473866303,0.27439510732109507
0.75,0.75,0,multiplicative_weights,0.4053792141595829,0.9342797639069725,0.27536263665647864
0.75,0.75,0,majority_vote,0.41346716334617134,0.9297187833950946,0.2746627324612464
0.75,0.75,0,oracle,0.412783392599451,0.927212059145861,0.2721806092629011
0.75,0.75,1,multiplicative_weights,0.42082177777140056,0.9157536396860015,0.26764994726652663
0.75,0.75,1,majority_vote,0.42351247714085816,0.9184789798123194,0.27242282535607537
0.75,0.75,1,oracle,0.42767862468701456,0.9124049965721432,0.2623514636403471
0.75,1.0,0,multiplicative_weights,0.4204717674459097,0.9079968434200395,0.2558548511049117
0.75,1.0,0,majority_vote,0.4231816036985251,0.9158520691917398,0.26348320658414487
0.75,1.0,0,oracle,0.4229545358915221,0.9230600272455298,0.2728068891868532
0.75,1.0,1,multiplicative_weights,0.4254715169219647,0.9240156340065785,0.27773298864565915
0.75,1.0,1,majority_vote,0.42605223458646696,0.9249915020599121,0.2803567167030903
0.75,1.0,1,oracle,0.4248463848731197,0.9311200723794908,0.2887941141679981
1.0,0.0,0,multiplicative_weights,0.4196346986903101,0.9222345773033769,0.2646071413065772
1.0,0.0,0,majority_vote,0.417472897069879,0.9222410373837147,0.2630202357297301
1.0,0.0,0,oracle,0.4155108947163471,0.9258877575862553,0.26925791838427743
1.0,0.0,1,multiplicative_weights,0.4264517030876069,0.9238651689063522,0.27536418400092333
1.0,0.0,1,majority_vote,0.42626659695162183,0.9221785080833814,0.2735913843591789
1.0,0.0,1,oracle,0.42846741670015565,0.9222047946868069,0.2732261665464338
1.0,0.25,0,multiplicative_weights,0.4845491875130329,0.9437296768217889,0.3473075044947658
1.0,0.25,0,majority_vote,0.48219629564881467,0.9452255610558644,0.34853982844852627
1.0,0.25,0,oracle,0.49552572214045754,0.9306525785258626,0.3336731379457692
1.0,0.25,1,multiplicative_weights,0.4737721164081977,0.9342073610846866,0.3215169570122767
1.0,0.25,1,majority_vote,0.4744413791060746,0.9334088403216786,0.32086113157583784
1.0,0.25,1,oracle,0.480297051628996,0.9290982583676685,0.3171390132336292
1.0,0.5,0,multiplicative_weights,0.43958467043674393,0.9266599618061188,0.28691526194792366
1.0,0.5,0,majority_vote,0.43958467043674393,0.9266599618061188,0.28691526194792366
1.0,0.5,0,oracle,0.4510131597161479,0.9157988629330879,0.2802428822999846
1.0,0.5,1,multiplicative_weights,0.4624918644903007,0.926886359402732,0.30446552831220425
1.0,0.5,1,majority_vote,0.46217503626277934,0.9240089583441247,0.3011227129305008
1.0,0.5,1,oracle,0.46984132885688035,0.9187167141679996,0.29531216103639585
1.0,0.75,0,multiplicative_weights,0.45013318913048017,0.9315964791358404,0.3102528583879684
1.0,0.75,0,majority_vote,0.4477759224235943,0.9358316201047092,0.3120036499283245
1.0,0.75,0,oracle,0.4714912860127192,0.9147438388536149,0.29838631234483093
1.0,0.75,1,multiplicative_weights,0.46053373508458073,0.9247173306903334,0.3053946297731586
1.0,0.75,1,majority_vote,0.46053373508458073,0.9247173306903334,0.3053946297731586
1.0,0.75,1,oracle,0.46488199590196133,0.9220286275332088,0.3002633854554958
1.0,1.0,0,multiplicative_weights,0.4451185723694676,0.9280369424537632,0.29190303017943425
1.0,1.0,0,majority_vote,0.443981596169509,0.9279606515897307,0.29144504050305287
1.0,1.0,0,oracle,0.45826096596575777,0.9070625335011743,0.27068583484835534
1.0,1.0,1,multiplicative_weights,0.477972213458954,0.9420553108369618,0.3400148272737217
1.0,1.0,1,majority_vote,0.47798256618732854,0.9408676763002811,0.3398669214841389
1.0,1.0,1,oracle,0.49496038243082513,0.9300080358446758,0.33238050541964376
