corruption_rate,run,architecture,aggregator,mean_utility,mean_fairness,mean_worst_group
0.25,0,hierarchical,ema_trust,0.4147605088518836,0.9202283620493483,0.2638248226831147
0.25,0,hierarchical,trimmed_vote,0.4147605088518836,0.9202283620493483,0.2638248226831147
0.25,0,hierarchical,multiplicative_weights,0.4147605088518836,0.9202283620493483,0.2638248226831147
0.25,0,hierarchical,confidence_weighted,0.4147605088518836,0.9202283620493483,0.2638248226831147
0.25,0,hierarchical,random_dictator,0.42034099042192874,0.9183221003195119,0.26676341676456927
0.25,0,hierarchical,supervisor_rerank,0.4125477256733055,0.9195256255367233,0.2654026861981534
0.25,0,hierarchical,oracle,0.42180653190632394,0.9253656373394693,0.27600402158711745
0.25,0,flat,majority_vote,0.42812895980468596,0.9219484009881616,0.28002270246572525
0.25,0,flat,oracle_upper_bound,0.4320053839575398,0.9182716482149113,0.2767471179315803
0.25,0,flat,self_consistency,0.4282823163442767,0.9127432121886784,0.267338917117209
0.25,0,flat,ema_trust,0.42812895980468596,0.9219484009881616,0.28002270246572525
0.25,0,flat,trimmed_vote,0.42812895980468596,0.9219484009881616,0.28002270246572525
0.25,0,flat,multiplicative_weights,0.42812895980468596,0.9219484009881616,0.28002270246572525
0.25,0,flat,confidence_weighted,0.42812895980468596,0.9219484009881616,0.28002270246572525
0.25,0,flat,random_dictator,0.42231591988324074,0.9212520013075343,0.2742415115915687
0.25,0,flat,supervisor_rerank,0.42097540233379427,0.9207062626087248,0.2713597696629851
0.25,0,flat,oracle,0.44314582360868504,0.9100693604805782,0.2699831953177985
0.25,1,hierarchical,majority_vote,0.4298394989329268,0.9284054057139219,0.2826263429754962
0.25,1,hierarchical,oracle_upper_bound,0.43332276155143185,0.9292926211957023,0.28598421145397224
0.25,1,hierarchical,self_consistency,0.4298394989329268,0.9284054057139219,0.2826263429754962
0.25,1,hierarchical,ema_trust,0.4298394989329268,0.9284054057139219,0.2826263429754962
0.25,1,hierarchical,trimmed_vote,0.43332276155143185,0.9292926211957023,0.28598421145397224
0.25,1,hierarchical,multiplicative_weights,0.4298394989329268,0.9284054057139219,0.2826263429754962
