run,round_id,aggregator,agent_index,weight,onset_round
0,25,majority_vote,1,0.2,20
0,25,majority_vote,2,0.2,20
0,25,majority_vote,3,0.2,20
0,25,majority_vote,4,0.2,20
0,26,majority_vote,0,0.2,20
0,26,majority_vote,1,0.2,20
0,26,majority_vote,2,0.2,20
0,26,majority_vote,3,0.2,20
0,26,majority_vote,4,0.2,20
0,27,majority_vote,0,0.2,20
0,27,majority_vote,1,0.2,20
0,27,majority_vote,2,0.2,20
0,27,majority_vote,3,0.2,20
0,27,majority_vote,4,0.2,20
0,28,majority_vote,0,0.2,20
0,28,majority_vote,1,0.2,20
0,28,majority_vote,2,0.2,20
0,28,majority_vote,3,0.2,20
0,28,majority_vote,4,0.2,20
0,29,majority_vote,0,0.2,20
0,29,majority_vote,1,0.2,20
0,29,majority_vote,2,0.2,20
0,29,majority_vote,3,0.2,20
0,29,majority_vote,4,0.2,20
0,30,majority_vote,0,0.2,20
0,30,majority_vote,1,0.2,20
0,30,majority_vote,2,0.2,20
0,30,majority_vote,3,0.2,20
0,30,majority_vote,4,0.2,20
0,31,majority_vote,0,0.2,20
0,31,majority_vote,1,0.2,20
0,31,majority_vote,2,0.2,20
0,31,majority_vote,3,0.2,20
0,31,majority_vote,4,0.2,20
0,32,majority_vote,0,0.2,20
0,32,majority_vote,1,0.2,20
0,32,majority_vote,2,0.2,20
0,32,majority_vote,3,0.2,20
0,32,majority_vote,4,0.2,20
0,33,majority_vote,0,0.2,20
0,33,majority_vote,1,0.2,20
0,33,majority_vote,2,0.2,20
0,33,majority_vote,3,0.2,20
0,33,majority_vote,4,0.2,20
0,34,majority_vote,0,0.2,20
0,34,majority_vote,1,0.2,20
0,34,majority_vote,2,0.2,20
0,34,majority_vote,3,0.2,20
0,34,majority_vote,4,0.2,20
0,35,majority_vote,0,0.2,20
0,35,majority_vote,1,0.2,20
0,35,majority_vote,2,0.2,20
0,35,majority_vote,3,0.2,20
0,35,majority_vote,4,0.2,20
0,36,majority_vote,0,0.2,20
0,36,majority_vote,1,0.2,20
0,36,majority_vote,2,0.2,20
0,36,majority_vote,3,0.2,20
0,36,majority_vote,4,0.2,20
0,37,majority_vote,0,0.2,20
0,37,majority_vote,1,0.2,20
0,37,majority_vote,2,0.2,20
0,37,majority_vote,3,0.2,20
0,37,majority_vote,4,0.2,20
0,38,majority_vote,0,0.2,20
